Orig_industry,Source,SOC,SOC2,new_industry (major group),AO
Education Management,LinkedIn,11-0000,110000,Management Occupations,Education Administration
Executive Office,LinkedIn,11-0000,110000,Management Occupations,"Management of Companies, Professional and Business Services"
Legislative Office,LinkedIn,11-0000,110000,Management Occupations,"Government, Military, and Public Administration"
Management Consulting,LinkedIn,11-0000,110000,Management Occupations,"Management of Companies, Professional and Business Services"
Nonprofit Organization Management,LinkedIn,11-0000,110000,Management Occupations,"Non-Profit, Fundraising, and Social Services"
Accounting,LinkedIn,13-0000,130000,Business and Financial Operations Occupations,Finance and Insurance
Banking,LinkedIn,13-0000,130000,Business and Financial Operations Occupations,Finance and Insurance
Business Supplies and Equipment,LinkedIn,13-0000,130000,Business and Financial Operations Occupations,Retail & Wholesale Industries
Capital Markets,LinkedIn,13-0000,130000,Business and Financial Operations Occupations,Finance and Insurance
Events Services,LinkedIn,13-0000,130000,Business and Financial Operations Occupations,Leisure and Hospitality
Financial Services,LinkedIn,13-0000,130000,Business and Financial Operations Occupations,Finance and Insurance
Fund-Raising,LinkedIn,13-0000,130000,Business and Financial Operations Occupations,"Non-Profit, Fundraising, and Social Services"
Human Resources,LinkedIn,13-0000,130000,Business and Financial Operations Occupations,"Management of Companies, Professional and Business Services"
Insurance,LinkedIn,13-0000,130000,Business and Financial Operations Occupations,Finance and Insurance
International Affairs,LinkedIn,13-0000,130000,Business and Financial Operations Occupations,"Government, Military, and Public Administration"
International Trade and Development,LinkedIn,13-0000,130000,Business and Financial Operations Occupations,"Government, Military, and Public Administration"
Investment Banking,LinkedIn,13-0000,130000,Business and Financial Operations Occupations,Finance and Insurance
Investment Management,LinkedIn,13-0000,130000,Business and Financial Operations Occupations,Finance and Insurance
Logistics and Supply Chain,LinkedIn,13-0000,130000,Business and Financial Operations Occupations,"Trade, Transportation & Utilities"
Market Research,LinkedIn,13-0000,130000,Business and Financial Operations Occupations,"Management of Companies, Professional and Business Services"
Marketing and Advertising,LinkedIn,13-0000,130000,Business and Financial Operations Occupations,"Management of Companies, Professional and Business Services"
Outsourcing/Offshoring,LinkedIn,13-0000,130000,Business and Financial Operations Occupations,"Management of Companies, Professional and Business Services"
Professional Training & Coaching,LinkedIn,13-0000,130000,Business and Financial Operations Occupations,"Management of Companies, Professional and Business Services"
Program Development,LinkedIn,13-0000,130000,Business and Financial Operations Occupations,"Management of Companies, Professional and Business Services"
Staffing and Recruiting,LinkedIn,13-0000,130000,Business and Financial Operations Occupations,"Management of Companies, Professional and Business Services"
Venture Capital & Private Equity,LinkedIn,13-0000,130000,Business and Financial Operations Occupations,Finance and Insurance
Computer & Network Security,LinkedIn,15-0000,150000,Computer and Mathematical Occupations,Information Technology
Computer Games,LinkedIn,15-0000,150000,Computer and Mathematical Occupations,Information Technology
Computer Hardware,LinkedIn,15-0000,150000,Computer and Mathematical Occupations,Information Technology
Computer Networking,LinkedIn,15-0000,150000,Computer and Mathematical Occupations,Information Technology
Computer Software,LinkedIn,15-0000,150000,Computer and Mathematical Occupations,Information Technology
Information Technology and Services,LinkedIn,15-0000,150000,Computer and Mathematical Occupations,Information Technology
Internet,LinkedIn,15-0000,150000,Computer and Mathematical Occupations,Information Technology
Wireless,LinkedIn,15-0000,150000,Computer and Mathematical Occupations,Information Technology
